Club,Average_Age,Average_potential,Highest_Paid_Player,Highest_Paid_Wage(Euros),Position,Total_Players,Country_with_most_players
Club Atlético Aldosivi,27,69,L. Villalba,9,LB,28,Argentina
Club Atlético Banfield,24,75,E. Kalinski,21,RDM,27,Argentina
Club Atlético Colón,25,74,M. Estigarribia,13,LCM,28,Argentina
Club Atlético Huracán,27,72,A. Chávez,17,LS,28,Argentina
Club Atlético Lanús,24,74,L. Acosta,22,RS,28,Argentina
Club Atlético Talleres,24,74,J. Ramírez,14,LW,28,Argentina
Club Atlético Tigre,28,71,D. Vera,14,ST,28,Argentina
Club Brugge KV,23,79,H. Vanaken,27,CAM,28,Belgium
Club Deportes Temuco,26,68,G. Gotti,3,ST,28,Chile
Club León,25,72,M. Boselli,32,ST,30,Mexico
Club Necaxa,25,70,H. González,20,GK,30,Mexico
Club Tijuana,24,72,D. González,22,LCM,28,Mexico
Clube Sport Marítimo,26,73,Danny,12,CAM,23,Brazil
Colchester United,22,69,L. Norris,5,ST,28,England
Colo-Colo,26,75,J. Valdivia,10,CAM,28,Chile
Colorado Rapids,26,70,E. Castillo,18,LB,23,United States
Columbus Crew SC,26,72,F. Higuaín,10,CAM,26,United States
Cork City,24,65,T. Ryan,1,GK,25,Republic of Ireland
Cosenza,25,69,G. Tutino,20,LS,30,Italy
Coventry City,23,69,T. Andreu,4,CAM,28,England
Cracovia,25,67,J. Gol,5,CDM,27,Poland
Crawley Town,26,65,R. Vincelot,5,CB,24,England
Crewe Alexandra,23,66,J. Bowery,5,RS,28,England
Crotone,24,71,C. Spinelli,6,ST,24,Italy
Cruz Azul,26,73,I. Marcone,31,RDM,25,Mexico
Cruzeiro,31,72,Juiano Mestres,39,RCB,20,Brazil
Crystal Palace,25,76,W. Zaha,78,LS,32,England
Curicó Unido,27,66,M. Quiroga,4,ST,28,Chile
Cádiz CF,26,71,Salvi Sánchez,9,RM,30,Spain
Córdoba CF,25,71,Jaime Romero,7,RM,26,Spain
DC United,26,71,B. Hamid,14,GK,28,United States
DSC Arminia Bielefeld,24,72,A. Voglsammer,11,LS,28,Germany
Daegu FC,24,68,Cho Hyun Woo,5,GK,28,Korea Republic
Dalian YiFang FC,27,63,N. Gaitán,22,CAM,28,China PR
Dalkurd FF,26,64,E. Markkanen,2,LS,21,Sweden
De Graafschap,24,69,H. Jurjus,5,GK,30,Netherlands
Defensa y Justicia,25,73,M. Larrondo,14,ST,28,Argentina
Deportes Iquique,26,68,L. Bustamante,4,CAM,28,Chile
Deportes Tolima,25,71,Y. Orozco,4,LW,28,Colombia
Deportivo Alavés,25,78,Ibai Gómez,31,RM,27,Spain
Deportivo Cali,25,75,C. Vargas,5,GK,28,Colombia
Deportivo Pasto,26,68,A. Estupiñán,1,CM,28,Colombia
Deportivo Toluca,26,72,L. Quiñones,46,LM,28,Mexico
Deportivo de La Coruña,26,75,Pablo Marí,39,LCB,30,Spain
Derby County,26,74,H. Wilson,48,RW,30,England
Derry City,22,66,R. Hale,2,RM,18,Republic of Ireland
Dijon FCO,26,75,Júlio Tavares,17,ST,26,France
Dinamo Zagreb,25,74,M. Orši�?,1,LM,28,Croatia
Djurgårdens IF,25,69,E. Johansson,6,LCB,25,Sweden
Doncaster Rovers,24,68,H. Kane,10,RCM,28,England
Dundalk,25,67,P. McEleney,2,CAM,23,Republic of Ireland
Dundee FC,25,68,R. Inniss,11,CB,27,Scotland
Dynamo Kyiv,24,78,G. Bushchan,1,GK,28,Ukraine
ESTAC Troyes,26,71,V. Marcel,12,RW,30,France
Eintracht Braunschweig,24,70,C. Nyman,5,ST,28,Germany
Eintracht Frankfurt,25,78,K. Trapp,61,GK,33,Germany
Elche CF,26,70,Chuca,6,CM,26,Spain
Empoli,25,74,S. Uçan,35,CM,33,Italy
En Avant de Guingamp,25,76,R. Rodelin,25,CAM,25,France
Envigado FC,22,71,A. Zapata,1,RW,28,Colombia
Esbjerg fB,24,67,A. Tighadouini,4,LM,25,Denmark
